STATE,MATH % '19,MATH % '22,READING % '19,READING % '22,BIDEN VOTE %,TRUMP VOTE %
Alaska,46.46,45.18,40.87,40.77,42.77%,52.83%
Arizona,47.52,46.4,43.17,43.1,49.36%,49.06%
Florida,49.19,48.17,44.94,44.95,47.86%,51.22%
Georgia,47.53,46.98,43.6,43.18,49.50%,49.26%
Iowa,48.14,47.97,44.1,43.6,44.89%,53.09%
Kansas,47.89,47.01,43.83,42.94,41.56%,56.21%
Maine,48.15,46.61,44.25,42.56,53.09%,44.02%
Michigan,47.23,46.44,43.65,42.37,50.62%,47.84%
Minnesota,49.68,47.8,44.48,43.09,52.40%,45.28%
Missouri,47.68,46.48,43.6,42.67,41.41%,56.80%
Montana,48.22,47.7,44.34,43.75,40.55%,56.92%
Nevada,47.13,45.87,43.52,42.31,50.06%,47.67%
New Hampshire,48.91,47.88,44.85,44.51,52.71%,45.36%
North Carolina,48.28,47.19,44.26,43.23,48.59%,49.93%
Ohio,48.23,47.55,44.39,43.71,45.24%,53.27%
Pennsylvania,48.79,47.51,44.64,43.78,50.01%,48.84%
South Carolina,47.35,46.84,43.2,43.28,43.43%,55.11%
Texas,48.72,47.72,43.21,42.84,46.48%,52.06%
Virginia,49.38,47.27,44.73,42.81,54.11%,44.00%
Wisconsin,48.33,48.05,43.94,43.47,49.45%,48.82%
